	#	;	+	-	*	/	%	<=	>=	<	>	==	!=	while	(	)	for	,	$	IDENTIFIER	int	IDENTIFIER	void	int	char	float	void	{	}	if	else	=	continue	break	return	number	CHAR	expression_statement	operator	iteration_statement	expression_profix	assignment_expression	PPT_declaration	PPT_declaration_class	PPT_variable_declaration	PPT_function_declaration	external_declaration	type_specifier	FTYPE_specifier	compound_statement	assignment_expression_list	selection_statement	start	statement	constant_expression	arithmetic_expression	declaration_init	function_declaration_suffix	function_declaration_list	assignment_expression_profix	declaration	declaration_assign	declaration_init_list	jump_statement	return_statement	function_definition	function_declaration	expression_list	assignment_operator	statement_list	function_expression	expression	primary_expression	
I0	r24	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s4	 	 	s5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	I3	 	 	 	I2	 	 	 	 	 	I1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I1	acc	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I2	r34	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I49	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r64	 	r64	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I50	r30	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r30	 	 	r30	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I51	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r73	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I52	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s89	r66	 	 	 	 	 	s85	 	 	 	 	 	 	 	 	 	 	 	 	 	s87	s88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	I83	 	 	 	 	 	 	 	 	 	 	 	 	I81	 	 	I84	I82	I86	
I53	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s97	 	 	 	 	 	 	s93	 	 	 	 	 	 	 	 	 	 	 	 	 	s95	s96	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	I91	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	I92	I90	I94	
I54	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r67	 	 	 	 	 	 	r67	 	 	 	 	 	 	 	 	 	 	 	 	 	r67	r67	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I55	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s98	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I56	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s99	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I57	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s100	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I58	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s101	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
